trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_ret,log_return_5_days,daily_open_close_change_log,daily_high_low_change_log,hidden_states
2017-05-24,399300.SZ,3424.1669,3409.7169,3424.1669,3383.8922,3424.194,-0.0271,-0.0008,83553161.0,92620045.5,-7.91430253066494e-06,0.00415599798241395,0.004228933929244505,0.0,1
2017-05-25,399300.SZ,3485.6581,3414.3992,3490.4176,3413.2246,3424.1669,61.4912,1.7958,130721631.0,136634020.8,0.0177986630110567,0.025436674993160935,0.020655316437984794,0.0013645209550929849,1
2017-05-26,399300.SZ,3480.4345,3479.6206,3498.3148,3473.04,3485.6581,-5.2236,-0.1499,103241153.0,112585907.3,-0.00149972194715353,0.022250233407064002,0.0002338774598804605,0.0051242245152955945,1
2017-05-31,399300.SZ,3492.8845,3495.073,3515.0812,3474.9215,3480.4345,12.45,0.3577,104829744.0,115968725.3,0.00357075683141339,0.023652418679514398,-0.0006263633033132265,0.006334726845803829,1
2017-06-01,399300.SZ,3497.7382,3485.2223,3499.8142,3476.4283,3492.8845,4.8537,0.139,103127724.0,116088766.2,0.00138863188252181,0.021250415475307705,0.0035847011887089053,0.0005933503437312027,1
2017-06-02,399300.SZ,3486.5074,3491.5893,3498.1189,3470.2017,3497.7382,-11.2308,-0.3211,82668010.0,92850747.1,-0.00321604087918637,0.018042288898652004,-0.001456529227642278,0.00332487672158166,1
2017-06-05,399300.SZ,3468.7538,3480.1692,3484.1244,3462.3144,3486.5074,-17.7536,-0.5092,79738152.0,85609467.4,-0.00510509614156618,-0.004861470253970879,-0.0032855192865888228,0.004421370430266691,1
2017-06-06,399300.SZ,3492.8816,3464.3765,3492.8816,3460.4534,3468.7538,24.1278,0.6956,64089388.0,77868793.7,0.00693167487854041,0.003569926571723059,0.00819439471567307,0.0,1
2017-06-07,399300.SZ,3533.8718,3493.8846,3537.0947,3491.1328,3492.8816,40.9902,1.1735,104419968.0,124189288.4,0.0116670281791595,0.011666197919469212,0.011379913946857556,0.0009115869020686063,1
2017-06-08,399300.SZ,3560.9786,3531.2419,3562.2724,3528.179,3533.8718,27.1068,0.7671,90224905.0,112035619.6,0.00764129766450061,0.017918863701448018,0.008385772625029375,0.0003632611048605128,1
2017-06-09,399300.SZ,3576.1703,3561.2411,3590.8872,3560.6336,3560.9786,15.1917,0.4266,101188265.0,121700586.7,0.00425708449012951,0.0253919890707639,0.004183371515473766,0.00410682366775994,1
2017-06-12,399300.SZ,3574.3894,3570.2191,3603.6901,3565.9012,3576.1703,-1.7809,-0.0498,90381167.0,117690802.2,-0.000498114864161181,0.029998970348168896,0.0011673978983210986,0.008163983901914307,1
2017-06-13,399300.SZ,3582.2674,3569.1594,3584.4094,3559.2134,3574.3894,7.878,0.2204,75177138.0,94223084.8,0.00220158752954092,0.025268882999169406,0.0036658460041110175,0.000597766614447437,1
2017-06-14,399300.SZ,3535.2987,3571.2483,3571.2483,3530.274,3582.2674,-46.9687,-1.3111,83810783.0,106105319.8,-0.0131981582280609,0.00040369659194894325,-0.0101174048817807,0.0101174048817807,1
2017-06-15,399300.SZ,3528.7926,3530.7465,3542.2796,3508.9461,3535.2987,-6.5061,-0.184,82632535.0,106053901.1,-0.00184202088090935,-0.009079621953461015,-0.0005535488995001003,0.0038147019217760203,1
2017-06-16,399300.SZ,3518.7611,3522.9745,3536.1401,3514.3892,3528.7926,-10.0315,-0.2843,76452707.0,91462286.3,-0.00284680534604753,-0.01618351178963806,-0.0011966937534069189,0.004926797601033428,1
2017-06-19,399300.SZ,3553.6653,3520.0602,3554.91,3520.0602,3518.7611,34.9042,0.9919,79797141.0,98572358.2,0.00987058229065241,-0.005814814634824472,0.00950145798435642,0.00035019675819469853,1
2017-06-20,399300.SZ,3546.494,3560.7871,3563.6964,3539.5149,3553.6653,-7.1713,-0.2018,80509559.0,98187595.4,-0.00202003987109833,-0.010036442035463722,-0.004022106081800203,0.0048388109451646955,1
2017-06-21,399300.SZ,3587.955,3567.1256,3587.9863,3545.5666,3546.494,41.461,1.1691,87859824.0,117147797.1,0.0116228924621318,0.01478460865472897,0.0058222848925808535,8.723594213222441e-06,1
2017-06-22,399300.SZ,3590.3425,3583.5583,3635.5273,3581.3375,3587.955,2.3875,0.0665,135526987.0,169418803.3,0.000665199537365879,0.017291829073004195,0.0018913565190050718,0.012506560513989129,3
2017-06-23,399300.SZ,3622.8831,3583.4359,3623.2352,3569.3225,3590.3425,32.5406,0.9063,105129134.0,133975111.7,0.00902254346529752,0.029161177884349243,0.010948056562805064,9.71830670426499e-05,3
2017-06-26,399300.SZ,3668.0919,3627.0208,3671.9435,3627.0208,3622.8831,45.2088,1.2479,134637995.0,170736841.9,0.0124014632914431,0.03169205888513993,0.011260013554640125,0.0010494773236402466,3
2017-06-27,399300.SZ,3674.7152,3665.5775,3676.5328,3648.7635,3668.0919,6.6233,0.1806,97558702.0,123057231.6,0.00180402445715799,0.035516123213396256,0.0024897385141695594,0.0004945010798262928,3
2017-06-28,399300.SZ,3646.1666,3664.1629,3672.1887,3644.0268,3674.7152,-28.5486,-0.7769,97920858.0,124465947.1,-0.00779926393947328,0.016093966811791205,-0.0049235363069009,0.007111491203097842,3
2017-06-29,399300.SZ,3668.8279,3649.2525,3669.1345,3644.7331,3646.1666,22.6613,0.6215,85589498.0,111847266.8,0.00619586863529165,0.02162463590971697,0.005349885658372244,8.35654323285695e-05,3
2017-06-30,399300.SZ,3666.7977,3654.7348,3669.7584,3646.2272,3668.8279,-2.0302,-0.0553,81510028.0,102459981.9,-0.000553517903593814,0.01204857454082564,0.0032951874256319513,0.0008071089814798427,3
2017-07-03,399300.SZ,3650.8463,3667.2316,3667.5957,3633.7825,3666.7977,-15.9514,-0.435,88820860.0,115214687.8,-0.00435971612334463,-0.0047126048739620785,-0.004478041257526044,0.004577321032060766,3
2017-07-04,399300.SZ,3619.9841,3646.828,3646.8455,3611.6911,3650.8463,-30.8622,-0.8453,95071413.0,125350417.5,-0.00848937016918505,-0.015005999500305123,-0.007388115100537718,0.007392913779831645,3
2017-07-05,399300.SZ,3659.6795,3611.8984,3660.7291,3610.4586,3619.9841,39.6954,1.0966,88232425.0,120351565.3,0.0109059417100958,0.0036992061492640005,0.013142068574495624,0.00028675995140403643,3
